OSEBuildingID,DataYear,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,TotalGHGEmissions,GHGEmissionsIntensity,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude
55.0,2015.0,1911.0,1.0,3.0,70586.0,0.0,30.5,2147062.0,0.0,539617.0,0.47,39.87,0.47,NonResidential,"Self-Storage Facility
",7,DOWNTOWN,47.61311034,-122.35096928
56.0,2015.0,1969.0,1.0,24.0,332210.0,205970.0,44.9,15660628.0,0.0,3352459.0,0.63,263.85,0.63,NonResidential,Hotel,7,DOWNTOWN,47.60950466,-122.3334029
57.0,2015.0,1973.0,1.0,5.0,168115.0,0.0,54.3,9213841.0,0.0,0.0,0.15,64.23,0.15,NonResidential,Large Office,7,DOWNTOWN,47.61103976,-122.3363484
58.0,2015.0,1920.0,1.0,2.0,57428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NonResidential,Retail Store,7,DOWNTOWN,47.61076355,-122.337677
59.0,2015.0,1910.0,1.0,8.0,59400.0,0.0,98.0,3915947.0,0.0,0.0,0.18,27.3,0.18,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.610466,-122.33795929
60.0,2015.0,1926.0,1.0,2.0,52549.0,0.0,297.1,15583947.0,0.0,10290141.0,10.67,583.41,10.67,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60883331,-122.3374176
62.0,2015.0,1930.0,1.0,20.0,98634.0,10043.0,69.7,6175812.0,0.0,753040.0,0.55,77.8,0.55,NonResidential,Hotel,7,DOWNTOWN,47.61229324,-122.33441925
63.0,2015.0,1982.0,1.0,34.0,994212.0,146694.0,85.9,85357952.0,16229832.0,24088353.0,2.67,2846.07,2.67,NonResidential,Hotel,7,DOWNTOWN,47.61101988,-122.3335344
65.0,2015.0,1985.0,1.0,7.0,71150.0,0.0,87.8,5040382.0,0.0,1987378.0,1.6,126.83,1.6,NonResidential,Hotel,7,DOWNTOWN,47.60989093,-122.3414255
66.0,2015.0,1908.0,1.0,7.0,122810.0,0.0,41.4,5086863.0,0.0,3781188.0,1.66,209.92,1.66,NonResidential,Hotel,7,DOWNTOWN,47.61155254,-122.3408486
67.0,2015.0,1959.0,1.0,5.0,113173.0,42546.0,70.6,4988241.0,0.0,1862890.0,0.95,120.73,0.95,NonResidential,Hotel,7,LAKE UNION,47.62037281,-122.3441465
68.0,2015.0,2000.0,1.0,7.0,150453.0,34735.0,60.8,6722886.0,0.0,3136472.0,1.17,191.58,1.17,NonResidential,Hotel,7,LAKE UNION,47.6203118,-122.3428044
69.0,2015.0,1997.0,1.0,6.0,116300.0,28200.0,68.0,6014078.0,0.0,2776145.0,1.34,170.01,1.34,NonResidential,Hotel,7,LAKE UNION,47.62021696,-122.3432115
